backend                 n steps thr      time    Mcells/s      GB/s  checksum
serial               4000   200   1   1.1096s      2881.0      46.1  3055089.594869
threads-spawn        4000   200   1   1.1159s      2864.9      45.8  3055089.594869  0.99x
threads-spawn        4000   200   4   0.5853s      5461.7      87.4  3055089.594869  1.90x
threads-spawn        4000   200   8   0.5929s      5392.1      86.3  3055089.594869  1.87x
threads-persistent   4000   200   1   1.0945s      2920.9      46.7  3055089.594869  1.01x
threads-persistent   4000   200   4   0.5754s      5555.4      88.9  3055089.594869  1.93x
threads-persistent   4000   200   8   0.5857s      5458.1      87.3  3055089.594869  1.89x
openmp               4000   200   1   1.0927s      2925.7      46.8  3055089.594869  1.02x
openmp               4000   200   4   0.5716s      5592.5      89.5  3055089.594869  1.94x
openmp               4000   200   8   0.5910s      5409.4      86.6  3055089.594869  1.88x
