backend,n,steps,threads,seconds,mcells_per_s,gbytes_per_s,checksum
serial,512,8000,1,0.451648,4607.13,73.7141,2128473.903721
threads-spawn,512,8000,1,0.558141,3728.091884,59.649470,2128473.903721
threads-spawn,512,8000,2,0.378109,5503.169552,88.050713,2128473.903721
threads-spawn,512,8000,4,0.366383,5679.295707,90.868731,2128473.903721
threads-spawn,512,8000,8,0.480457,4330.875887,69.294014,2128473.903721
threads-spawn,512,8000,10,0.537950,3868.020170,61.888323,2128473.903721
threads-persistent,512,8000,1,0.452633,4597.103116,73.553650,2128473.903721
threads-persistent,512,8000,2,0.231027,9006.745983,144.107936,2128473.903721
threads-persistent,512,8000,4,0.167166,12447.491780,199.159868,2128473.903721
threads-persistent,512,8000,8,0.175714,11841.992917,189.471887,2128473.903721
threads-persistent,512,8000,10,0.156088,13330.970046,213.295521,2128473.903721
openmp,512,8000,1,0.471315,4414.879819,70.638077,2128473.903721
openmp,512,8000,2,0.326718,6368.787798,101.900605,2128473.903721
openmp,512,8000,4,0.297042,7005.079824,112.081277,2128473.903721
openmp,512,8000,8,0.468077,4445.426791,71.126829,2128473.903721
openmp,512,8000,10,0.534455,3893.312490,62.293000,2128473.903721
