backend,n,steps,threads,seconds,mcells_per_s,gbytes_per_s,checksum
serial,4000,200,1,1.1096,2881.03,46.0964,3055089.594869
threads-spawn,4000,200,1,1.115864,2864.864793,45.837837,3055089.594869
threads-spawn,4000,200,4,0.585310,5461.725231,87.387604,3055089.594869
threads-spawn,4000,200,8,0.592872,5392.056339,86.272901,3055089.594869
threads-persistent,4000,200,1,1.094450,2920.918580,46.734697,3055089.594869
threads-persistent,4000,200,4,0.575436,5555.444712,88.887115,3055089.594869
threads-persistent,4000,200,8,0.585700,5458.088039,87.329409,3055089.594869
openmp,4000,200,1,1.092678,2925.656111,46.810498,3055089.594869
openmp,4000,200,4,0.571621,5592.514050,89.480225,3055089.594869
openmp,4000,200,8,0.590973,5409.388971,86.550224,3055089.594869
